"planet_id";"planet_name";"planet_status";"mass";"mass_error_min";"mass_error_max";"mass_sini";"mass_sini_error_min";"mass_sini_error_max";"radius";"radius_error_min";"radius_error_max";"orbital_period";"orbital_period_error_min";"orbital_period_error_max";"semi_major_axis";"semi_major_axis_error_min";"semi_major_axis_error_max";"eccentricity";"eccentricity_error_min";"eccentricity_error_max";"inclination";"inclination_error_min";"inclination_error_max";"angular_distance";"discovered";"updated";"omega";"omega_error_min";"omega_error_max";"tperi";"tperi_error_min";"tperi_error_max";"tconj";"tconj_error_min";"tconj_error_max";"tzero_tr";"tzero_tr_error_min";"tzero_tr_error_max";"tzero_tr_sec";"tzero_tr_sec_error_min";"tzero_tr_sec_error_max";"lambda_angle";"lambda_angle_error_min";"lambda_angle_error_max";"impact_parameter";"impact_parameter_error_min";"impact_parameter_error_max";"tzero_vr";"tzero_vr_error_min";"tzero_vr_error_max";"k";"k_error_min";"k_error_max";"temp_calculated";"temp_calculated_error_min";"temp_calculated_error_max";"temp_measured";"hot_point_lon";"geometric_albedo";"geometric_albedo_error_min";"geometric_albedo_error_max";"log_g";"publication";"detection_type";"mass_detection_type";"radius_detection_type";"alternate_names";"molecules";"star_name";"ra";"dec";"mag_v";"mag_i";"mag_j";"mag_h";"mag_k";"star_distance";"star_distance_error_min";"star_distance_error_max";"star_metallicity";"star_metallicity_error_min";"star_metallicity_error_max";"star_mass";"star_mass_error_min";"star_mass_error_max";"star_radius";"star_radius_error_min";"star_radius_error_max";"star_sp_type";"star_age";"star_age_error_min";"star_age_error_max";"star_teff";"star_teff_error_min";"star_teff_error_max";"star_detected_disc";"star_magnetic_field";"star_alternate_names";"x";"y";"z";"star_id";"distance_to_host_star"
1581;"KELT-11 b";"Confirmed";"0.195";"0.019";"0.019";;;;"1.3";"0.12";"0.18";"4.736529";"5.9e-05";"6.8e-05";"0.06229";"0.00076";"0.00088";"0.0";;;"85.8";"1.8";"2.4";;2016;"2020-10-06";;;;;;;;;;"2457440.8323";"0.0036";"0.0042";"2457059.5415";"0.0027";"0.0027";;;;"0.36";"0.2";"0.13";;;;"18.5";"1.7";"1.7";"1712.0";;;;;;;;;"Published in a refereed paper";"Primary Transit";"Radial Velocity";"Primary Transit";;"H2O";"KELT-11";161.70833335;-9.399166687;"8.0";;;;;98;"5.0";"5.0";"0.18";"0.075";"0.075";"1.438";"0.052";"0.061";"2.72";"0.17";"0.21";"G8";;;;"5370.0";"51.0";"51.0";;;"HD 93396";-91.7989565437013;30.3447909379836;-16.0045381194746;23001;3.2288696845878
1591;"KELT-23A b";"Confirmed";"0.938";"0.044";"0.048";;;;"1.323";"0.025";"0.025";"2.255251";"0.00012";"0.00012";"0.03302";"0.00068";"0.00068";;;;"85.37";"0.31";"0.31";;2019;"2019-10-05";;;;;;;;;;;;;;;;;;;"0.576";"0.027";"0.024";;;;"150.6";"4.4";"4.4";"1561.0";"20.0";"20.0";;;;;;;"Published in a refereed paper";"Primary Transit";"Spectrum";"Primary Transit";;;"KELT-23A";232.145833345;66.358888903;"10.4";;;;;125.42;"0.35";"0.35";"-0.105";"0.078";"0.078";"0.942";"0.054";"0.06";"0.996";"0.015";"0.015";;"6.4";"3.2";"3.5";"5899.0";"49.0";"49.0";;;"BD+66 911";-30.8632431495839;-39.7110763402244;114.894155805204;34071;3.55098298669693
1592;"KELT-25 b";"Confirmed";"21.0";"20.0";"43.0";;;;"1.642";"0.43";"0.39";"4.401131";"5.9e-05";"5.9e-05";"0.0681";"0.0011";"0.0012";;;;"85.37";"0.42";"0.55";;2020;"2020-03-26";;;;;"5.9e-05";"5.9e-05";;;;"2458493.31501";"0.00037";"0.00037";;;;"23.4";"2.3";"3.2";"0.522";"0.048";"0.034";;;;;;;;;;;;;;;;"Submitted to a professional journal";"Primary Transit";"Radial Velocity";"Primary Transit";;;"KELT-25";108.123125169974;-24.9535616681318;"9.63";;;;;442.7;"7.3";"7.6";"0.3";"0.21";"0.13";"2.18";"0.11";"0.12";"2.264";"0.052";"0.048";"A";"0.46";"0.12";"0.14";"8280.0";"180.0";"440.0";;;"CD-24 5016, TOI 626";-124.851402477334;381.461907576566;-186.767851536313;94036;3.63163302379953
1597;"KELT-7 b";"Confirmed";"1.29";"0.18";"0.18";"1.28";"0.18";"0.18";"1.533";"0.047";"0.047";"2.7347749";"3.9e-06";"3.9e-06";"0.04415";"0.00062";"0.00052";;;;"83.76";"0.38";"0.38";;2015;"2020-06-26";;;;;;;;;;"2456223.9592";"0.0017";"0.0017";"2456222.5918";"0.0017";"0.0017";;"2.7";"2.7";"0.6";;;;;;"138.0";"19.0";"19.0";"2048.0";;;;;;;;;"Published in a refereed paper";"Primary Transit";"Radial Velocity";"Primary Transit";;"H, H2O";"KELT-7";78.295833337;33.318055563;"8.54";;;;;129;"8.0";"8.0";"0.139";"0.08";"0.08";"1.535";"0.066";"0.054";"1.732";"0.045";"0.045";;"1.3";"0.2";"0.2";"6789.0";"50.0";"50.0";;;;21.867502973171;105.555520554522;70.8579169478065;33992;3.65170628479154
1672;"Kepler-10 b";"Confirmed";"0.0145";"0.0046";"0.004";;;;"0.132";"0.003";"0.004";"0.837491";"2e-06";"2e-06";"0.0172";"0.00168";"0.00081";"0.06";"0.06";"0.16";"85.1";"4.3";"3.4";"9.7e-05";2011;"2021-02-05";;;;;;;"2454964.57513";"5e-05";"5e-05";"2455034.08687";"0.00018";"0.00018";;;;;;;"0.3";"0.2";"0.21";;;;"3.3";"1.0";"0.8";"2130.0";"60.0";"120.0";;;"0.58";"0.25";"0.23";;"Published in a refereed paper";"Primary Transit";;;"2MASS J19024305+5014286 b, K00072.01, KIC 11904151 b, KOI-72 b, KOI-72.01, WISE J190243.03+501429.1  b";;"Kepler-10";285.679394;50.241299;"11.16";;"9.889";"9.563";;186.5;"0.81";"0.81";"-0.15";"0.04";"0.04";"0.91";"0.021";"0.021";"1.06";"0.01";"0.01";"G";"10.6";"1.5";"1.5";"5708.0";"28.0";"28.0";;;"2MASS J19024305+5014286, KIC 11904151, KOI-72, WISE J190243.03+501429.1";32.2351505575749;-114.838726191456;143.370889776322;52212;2.10086688678521
1673;"Kepler-10 c";"Confirmed";"0.02319";"0.00374";"0.00415";;;;"0.2097";"0.0036";"0.008";"45.2946";"0.0008";"0.0008";"0.241";"0.0019";"0.0019";"0.05";"0.05";"0.2";"89.59";"0.43";"0.25";"0.001391";2011;"2021-02-05";;;;;;;;;;"2455062.26648";"0.0081";"0.0081";;;;;;;;;;;;;"1.41";"0.23";"0.25";"584.0";;;;;;;;;"Published in a refereed paper";"Primary Transit";"Radial Velocity";"Primary Transit";"2MASS J19024305+5014286 c, K00072.02, KIC 11904151 c, KOI-72 c, KOI-72.02, WISE J190243.03+501429.1  c";;"Kepler-10";285.679394;50.241299;"11.16";;"9.889";"9.563";;186.5;"0.81";"0.81";"-0.15";"0.04";"0.04";"0.91";"0.021";"0.021";"1.06";"0.01";"0.01";"G";"10.6";"1.5";"1.5";"5708.0";"28.0";"28.0";;;"2MASS J19024305+5014286, KIC 11904151, KOI-72, WISE J190243.03+501429.1";32.2351505575749;-114.838726191456;143.370889776322;52212;2.10086688678521
1680;"Kepler-1002 b";"Confirmed";;;;;;;"0.153";"0.004";"0.005";"4.33642933";"6.95e-06";"6.95e-06";;;;;;;;;;;2016;"2021-02-05";;;;;;;"2454966.85599";"0.00141";"0.00141";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19321907+4304253 b, K01890.01, KIC 7449136 b, KOI-1890 b, KOI-1890.01, WISE J193219.07+430425.3 b";;"Kepler-1002";293.079495;43.073715;;;"10.689";"10.449";"10.374";425;;;"0.04";"0.057";"0.07";"1.22";"0.05";"0.05";"1.57";"0.04";"0.05";;"4.07";"-0.5";"0.72";"6144.0";"61.08";"47.25";;;"2MASS J19321907+4304253, KIC 7449136, KOI-1890, WISE J193219.07+430425.3";121.69969910491;-285.604138006524;290.248961395773;93103;4.91269075354279
1712;"Kepler-1026 b";"Confirmed";;;;;;;"0.197";"0.013";"0.029";"36.5156053";"0.0001037";"0.0001037";;;;;;;;;;;2016;"2021-02-05";;;;;;;"2454984.29218";"0.00234";"0.00234";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J18542526+3959527 b, K01959.01, KIC 4813563 b, KOI-1959 b, KOI-1959.01, WISE J185425.26+395952.5 b";;"Kepler-1026";283.605263;39.99798;;;"12.686";"12.178";"12.077";389;;;"-0.02";"0.167";"0.151";"0.79";"0.04";"0.04";"0.75";"0.04";"0.03";;"4.57";"-2.8";"6.05";"4948.0";"89.37";"85.79";;;"2MASS J18542526+3959527, KIC 4813563, KOI-1959, WISE J185425.26+395952.5";70.098979564816;-289.6380410937;250.033874135837;89998;4.94420117122057
1716;"Kepler-103 b";"Confirmed";"0.031";"0.027";"0.027";;;;"0.301";"0.008";"0.008";"15.9654";;;"0.133";"0.0016";"0.0039";"0.17";"0.12";"0.29";"87.914";"0.07";"0.07";;2014;"2021-02-05";"313.0";"82.0";"130.0";;;;"2454975.17614";;;"2455677.65243";"0.00028";"0.00028";;;;;;;"0.72";"0.01";"0.01";;;;"2.32";"2.1";"2.1";;;;;;;;;;"Published in a refereed paper";"Primary Transit";"Spectrum";"Primary Transit";"2MASS J19155629+4003522 b, K00108.01, KIC 4914423 b, KOI-108 b, KOI-108.01, WISE J191556.29+400352.2  b";;"Kepler-103";288.984555;40.064521;"12.287";"12.132";"11.193";"10.941";"10.873";501.93;"5.95";"5.95";"0.07";"0.11";"0.11";"1.09";"0.07";"0.07";"1.44";"0.04";"0.04";;"5.7";"0.62";"0.69";"5845.0";"88.0";"88.0";;;"KOI-108, KIC 4914423, 2MASS J19155629+4003522, WISE J191556.29+400352.2";124.964901128467;-363.242485611935;323.067167988973;97961;4.45897024912987
1717;"Kepler-103 c";"Confirmed";"0.114";"0.079";"0.079";;;;"0.459";"0.012";"0.012";"179.612";;;"0.6679";"0.008";"0.019";"0.1";"0.068";"0.092";"89.704";"0.055";"0.12";;2014;"2021-02-05";"344.0";"60.0";"80.0";;;;"2455128.32581";;;"2455667.15973";"0.00044";"0.00044";;;;;;;"0.44";"0.02";"0.02";;;;"3.85";"2.7";"2.7";;;;;;;;;;"Published in a refereed paper";"Primary Transit";"Spectrum";;"2MASS J19155629+4003522 c, K00108.02, KIC 4914423 c, KOI-108 c, KOI-108.02, WISE J191556.29+400352.2  c";;"Kepler-103";288.984555;40.064521;"12.287";"12.132";"11.193";"10.941";"10.873";501.93;"5.95";"5.95";"0.07";"0.11";"0.11";"1.09";"0.07";"0.07";"1.44";"0.04";"0.04";;"5.7";"0.62";"0.69";"5845.0";"88.0";"88.0";;;"KOI-108, KIC 4914423, 2MASS J19155629+4003522, WISE J191556.29+400352.2";124.964901128467;-363.242485611935;323.067167988973;97961;4.45897024912987
1741;"Kepler-1049 b";"Confirmed";;;;;;;"0.085";"0.014";"0.009";"3.27346074";"5.31e-06";"5.31e-06";;;;;;;;;;;2016;"2021-02-05";;;;;;;"2454967.44686";"0.00128";"0.00128";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19092321+4746226 b, K02006.01, KIC 10525027 b, KOI-2006 b, KOI-2006.01, WISE J190923.25+474622.4 b";;"Kepler-1049";287.346741;47.772957;;;"11.971";"11.348";"11.18";129;;;"-0.33";"0.078";"0.083";"0.51";"0.03";"0.03";"0.49";"0.03";"0.03";;"3.8";"-2.2";"5.36";"3864.0";"41.5";"42.03";;;"2MASS J19092321+4746226, KIC 10525027, KOI-2006, WISE J190923.25+474622.4";25.8490426813892;-82.7538864661147;95.5228834741138;35133;3.64363272574599
1763;"Kepler-1064 b";"Confirmed";;;;;;;"0.138";"0.004";"0.006";"16.54080322";"4.111e-05";"4.111e-05";;;;;;;;;;;2016;"2021-02-05";;;;;;;"2454966.9536";"0.00215";"0.00215";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19265799+3741202 b, K02033.01, KIC 2304320 b, KOI-2033 b, KOI-2033.01, WISE J192657.98+374119.8 b";;"Kepler-1064";291.741637;37.688934;;;"12.33";"11.888";"11.817";374;;;"0.0";"0.097";"0.101";"0.85";"0.03";"0.03";"0.79";"0.02";"0.02";;"3.89";"-1.91";"2.96";"5153.0";"59.98";"80.62";;;"2MASS J19265799+3741202, KIC 2304320, KOI-2033, WISE J192657.98+374119.8";109.630709651222;-274.908122838764;228.653955790484;88008;3.14531462421481
1781;"Kepler-1076 b";"Confirmed";;;;;;;"0.071";"0.003";"0.004";"6.14727918";"2.112e-05";"2.112e-05";;;;;;;;;;;2016;"2021-02-05";;;;;;;"2454967.87409";"0.00269";"0.00269";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19102162+5103380 b, K02059.01, KIC 12301181 b, KOI-2059 b, KOI-2059.01, WISE J191021.63+510338.2 b";;"Kepler-1076";287.590098;51.060574;;;"11.305";"10.791";"10.664";199;;;"-0.01";"0.111";"0.101";"0.79";"0.04";"0.03";"0.74";"0.02";"0.01";;"3.72";"-1.93";"3.92";"4868.0";"45.61";"38.24";;;"2MASS J19102162+5103380, KIC 12301181, KOI-2059, WISE J191021.63+510338.2";37.7971573439281;-119.223222508488;154.784360034888;57255;4.79829668295453
1885;"Kepler-1152 b";"Confirmed";;;;;;;"0.078";"0.005";"0.004";"1.64680191";"2.67e-06";"2.67e-06";;;;;;;;;;;2016;"2021-02-05";;;;;;;"2454965.0606";"0.00136";"0.00136";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19214416+4406275 b, K02238.01, KIC 8229458 b, KOI-2238 b, KOI-2238.01, WISE J192144.18+440627.9 b";;"Kepler-1152";290.434033;44.107651;;;"12.495";"11.821";"11.683";184;;;"-0.25";"0.108";"0.136";"0.55";"0.03";"0.04";"0.53";"0.03";"0.03";;"3.47";"-1.86";"5.26";"3964.0";"45.68";"46.47";;;"2MASS J19214416+4406275, KIC 8229458, KOI-2238, WISE J192144.18+440627.9";46.1262366511201;-123.804575312295;128.065598129033;51817;3.71664373975364
1911;"Kepler-1173 b";"Confirmed";;;;;;;"0.079";"0.006";"0.021";"0.7698536";"1.2e-06";"1.2e-06";;;;;;;;;;;2016;"2021-02-05";;;;;;;"2454965.52142";"0.00123";"0.00123";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19323146+4539487 b, K02281.01, KIC 9221517 b, KOI-2281 b, KOI-2281.01, WISE J193231.47+453948.4 b";;"Kepler-1173";293.131095;45.663548;;;"12.416";"11.977";"11.884";402;;;"0.0";"0.164";"0.148";"0.86";"0.05";"0.04";"0.82";"0.04";"0.06";;"4.79";"-3.0";"6.4";"5252.0";"116.76";"92.48";;;"2MASS J19323146+4539487, KIC 9221517, KOI-2281, WISE J193231.47+453948.4";110.365747138071;-258.360247605468;287.529797266121;90441;4.83454247291062
2022;"Kepler-126 b";"Confirmed";;;;;;;"0.136";"0.009";"0.009";"10.495711";"2.8e-05";"2.8e-05";"0.099";;;"0.07";"0.07";"0.1";;;;;2014;"2021-02-05";;;;;;;"2455005.78966";"0.00165";"0.00165";;;;;;;;;;"0.65";"0.32";"0.32";;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19172334+4412307 b, K00260.01, KIC 8292840 b, KOI-260 b, KOI-260.01, WISE J191723.36+441230.5  b";;"Kepler-126";289.347291;44.208553;;;"9.616";"9.407";"9.344";239.03;"1.67";"1.67";;;;;;;"1.36";"0.02";"0.02";;;;;"6239.0";"94.0";"94.0";;;"2MASS J19172334+4412307, KIC 8292840, KOI-260, WISE J191723.36+441230.5";56.763215261852;-161.662420668805;166.668953427562;65379;4.69479381919227
2023;"Kepler-126 c";"Confirmed";;;;;;;"0.141";"0.012";"0.012";"21.869741";"8.2e-05";"8.2e-05";"0.162";;;"0.19";"0.19";"0.18";;;;;2014;"2021-02-05";;;;;;;"2454973.29159";"0.00223";"0.00223";;;;;;;;;;"0.71";"0.27";"0.27";;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19172334+4412307 c, K00260.03, KIC 8292840 c, KOI-260 c, KOI-260.03, WISE J191723.36+441230.5  c";;"Kepler-126";289.347291;44.208553;;;"9.616";"9.407";"9.344";239.03;"1.67";"1.67";;;;;;;"1.36";"0.02";"0.02";;;;;"6239.0";"94.0";"94.0";;;"2MASS J19172334+4412307, KIC 8292840, KOI-260, WISE J191723.36+441230.5";56.763215261852;-161.662420668805;166.668953427562;65379;4.69479381919227
2024;"Kepler-126 d";"Confirmed";;;;;;;"0.223";"0.004";"0.004";"100.283134";"0.000255";"0.000255";"0.448";;;"0.02";"0.02";"0.09";;;;;2014;"2021-02-05";;;;;;;"2455078.04434";"0.00131";"0.00131";;;;;;;;;;"0.14";"0.17";"0.17";;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19172334+4412307 d, K00260.02, KIC 8292840 d, KOI-260 d, KOI-260.02, WISE J191723.36+441230.5  d";;"Kepler-126";289.347291;44.208553;;;"9.616";"9.407";"9.344";239.03;"1.67";"1.67";;;;;;;"1.36";"0.02";"0.02";;;;;"6239.0";"94.0";"94.0";;;"2MASS J19172334+4412307, KIC 8292840, KOI-260, WISE J191723.36+441230.5";56.763215261852;-161.662420668805;166.668953427562;65379;4.69479381919227
2055;"Kepler-1285 b";"Confirmed";;;;;;;"0.087";"0.007";"0.009";"14.7967458";"0.0001134";"0.0001134";;;;;;;;;;;2016;"2021-02-05";;;;;;;"2454975.73773";"0.00571";"0.00571";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J18472048+4409213 b, K02593.01, KIC 8212002 b, KOI-2593 b, KOI-2593.01, WISE J184720.48+440921.2 b";;"Kepler-1285";281.835355;44.155926;;;"10.785";"10.503";"10.484";364;;;"0.16";"0.088";"0.089";"1.2";"0.04";"0.05";"1.28";"0.09";"0.12";;"2.75";"-1.06";"0.868";"6170.0";"62.49";"67.21";;;"2MASS J18472048+4409213, KIC 8212002, KOI-2593, WISE J184720.48+440921.2";53.5619951980719;-255.598795329505;253.567285935129;86922;4.03258658793581
2083;"Kepler-1308 b";"Confirmed";;;;;;;"0.046";"0.004";"0.005";"2.10433812";"4.24e-06";"4.24e-06";;;;;;;;;;;2016;"2021-02-05";;;;;;;"2454966.31479";"0.00168";"0.00168";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19034293+3831155 b, K02662.01, KIC 3426367 b, KOI-2662 b, KOI-2662.01, WISE J190342.91+383114.8 b";;"Kepler-1308";285.928896;38.520962;;;"11.878";"11.24";"11.023";73;;;"-0.13";"0.074";"0.078";"0.35";"0.04";"0.04";"0.34";"0.03";"0.03";;"3.72";"-2.13";"5.97";"3468.0";"30.71";"33.65";;;"2MASS J19034293+3831155, KIC 3426367, KOI-2662, WISE J190342.91+383114.8";15.6745428657672;-54.9207697786748;45.4644669260185;15500;2.9349822595584
2091;"Kepler-1313 b";"Confirmed";;;;;;;"0.157";"0.007";"0.005";"3.83309118";"5.34e-06";"5.34e-06";;;;;;;;;;;2016;"2021-02-05";;;;;;;"2454964.63409";"0.00115";"0.00115";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19293325+4213597 b, K02678.01, KIC 6779260 b, KOI-2678 b, KOI-2678.01, WISE J192933.25+421359.7 b";;"Kepler-1313";292.388546;42.233261;;;"10.522";"10.13";"10.088";187;;;"0.0";"0.1";"0.093";"0.92";"0.03";"0.03";"0.85";"0.03";"0.03";;"2.69";"-1.17";"2.04";"5453.0";"76.05";"82.15";;;"2MASS J19293325+4213597, KIC 6779260, KOI-2678, WISE J192933.25+421359.7";52.7364664283433;-128.02089308024;125.692147899501;52021;4.61749387932436
2116;"Kepler-1331 b";"Confirmed";;;;;;;"0.094";"0.007";"0.008";"0.78916165";"1.21e-06";"1.21e-06";;;;;;;;;;;2016;"2021-02-05";;;;;;;"2454964.5051";"0.00134";"0.00134";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19481770+4113281 b, K02742.01, KIC 5980208 b, KOI-2742 b, KOI-2742.01, WISE J194817.70+411328.0 b";;"Kepler-1331";297.073789;41.22448;;;"13.084";"12.419";"12.318";365;;;"0.05";"0.16";"0.155";"0.72";"0.05";"0.05";"0.69";"0.04";"0.05";;"4.17";"-2.41";"5.56";"4508.0";"204.59";"243.21";;;"2MASS J19481770+4113281, KIC 5980208, KOI-2742, WISE J194817.70+411328.0";124.948335599821;-244.446144946285;240.538969091776;86764;4.07072017099548
2164;"Kepler-137 b";"Confirmed";;;;;;;"0.131";"0.01";"0.01";"8.436387";"1.8e-05";"1.8e-05";"0.077";;;;;;;;;;2014;"2021-02-05";;;;;;;"2455012.8864";"0.00117";"0.00117";;;;;;;;;;"0.01";"0.22";"0.22";;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J18483252+4302207 b, K00313.02, KIC 7419318 b, KOI-313 b, KOI-313.02, WISE J184832.53+430221.0  b";;"Kepler-137";282.135534;43.039101;;;"11.65";"11.229";"11.165";305.65;"1.86";"1.86";"-0.12";;;;;;"0.8";"0.06";"0.06";;;;;"5187.0";"100.0";"100.0";;;"2MASS J18483252+4302207, KIC 7419318, KOI-313, WISE J184832.53+430221.0";46.9633978203148;-218.403731144271;208.605301915919;79107;2.89346099411672
2165;"Kepler-137 c";"Confirmed";;;;;;;"0.168";"0.012";"0.012";"18.735753";"3.5e-05";"3.5e-05";"0.13";;;;;;;;;;2014;"2021-02-05";;;;;;;"2455010.63394";"0.00105";"0.00105";;;;;;;;;;"0.06";"0.23";"0.23";;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J18483252+4302207 c, K00313.01, KIC 7419318 c, KOI-313 c, KOI-313.01, WISE J184832.53+430221.0  c";;"Kepler-137";282.135534;43.039101;;;"11.65";"11.229";"11.165";305.65;"1.86";"1.86";"-0.12";;;;;;"0.8";"0.06";"0.06";;;;;"5187.0";"100.0";"100.0";;;"2MASS J18483252+4302207, KIC 7419318, KOI-313, WISE J184832.53+430221.0";46.9633978203148;-218.403731144271;208.605301915919;79107;2.89346099411672
2178;"Kepler-138 b";"Confirmed";"0.00021";"0.00012";"0.00019";;;;"0.047";"0.003";"0.003";"10.3126";"0.0006";"0.0004";"0.0746";;;"0.0";;;"89.95";;;;2014;"2021-02-05";;;;;;;"2455688.4142";"0.0027";"0.0027";"2454966.51557";"0.00208";"0.00208";;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";"TTV";"Primary Transit";"KOI-314.03, K000314.03, KOI-314b, 2MASS J19213157+4317347 b, K00314.03, KIC 7603200 b, WISE J192131.55+431734.9  b";;"Kepler-138";290.381547;43.292973;;;"10.293";"9.68";"9.506";66.99;"0.11";"0.11";"-0.28";"0.099";"0.099";"0.52";"0.06";"0.06";"0.44";"0.02";"0.02";"M1 V";;;;"3841.0";"49.0";"49.0";;;"KOI-314, 2MASS J19213157+4317347, KIC 7603200, WISE J192131.55+431734.9";16.9813506075421;-45.7065270811353;45.9369917792314;12850;4.69050954272356
2179;"Kepler-138 c";"Confirmed";"0.0062";"0.00352";"0.00602";;;;"0.107";"0.006";"0.006";"13.7813";"0.0001";"0.0001";;;;"0.05";"0.025";"0.049";;;;;2014;"2021-02-05";"72.0";"28.0";"47.0";;;;"2455686.1289";"0.0005";"0.0005";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";;;"KOI-314.01, K000314.01, KOI-314 b, KOI-314c, 2MASS J19213157+4317347 c, K00314.01, KIC 7603200 c, WISE J192131.55+431734.9  c";;"Kepler-138";290.381547;43.292973;;;"10.293";"9.68";"9.506";66.99;"0.11";"0.11";"-0.28";"0.099";"0.099";"0.52";"0.06";"0.06";"0.44";"0.02";"0.02";"M1 V";;;;"3841.0";"49.0";"49.0";;;"KOI-314, 2MASS J19213157+4317347, KIC 7603200, WISE J192131.55+431734.9";16.9813506075421;-45.7065270811353;45.9369917792314;12850;4.69050954272356
2180;"Kepler-138 d";"Confirmed";"0.00201";"0.00122";"0.00212";"0.00318";"0.00107";"0.00132";"0.108";"0.007";"0.007";"23.0881";"0.0008";"0.0009";;;;"0.024";"0.016";"0.03";;;;;2014;"2021-02-05";"170.0";"120.0";"130.0";;;;"2455696.6689";"0.0013";"0.0013";;;;;;;;;;;;;;;;;;;"431.0";;;;;;;;;"Announced on a professional conference";"Primary Transit";"TTV";;"KOI-314.02, K000314.02, KOI-314 c, KOI-314d, 2MASS J19213157+4317347 d, K00314.02, KIC 7603200 d, KOI-314 d, WISE J192131.55+431734.9  d";;"Kepler-138";290.381547;43.292973;;;"10.293";"9.68";"9.506";66.99;"0.11";"0.11";"-0.28";"0.099";"0.099";"0.52";"0.06";"0.06";"0.44";"0.02";"0.02";"M1 V";;;;"3841.0";"49.0";"49.0";;;"KOI-314, 2MASS J19213157+4317347, KIC 7603200, WISE J192131.55+431734.9";16.9813506075421;-45.7065270811353;45.9369917792314;12850;4.69050954272356
2222;"Kepler-1410 b";"Confirmed";;;;;;;"0.159";"0.012";"0.011";"60.866168";"0.0005161";"0.0005161";;;;;;;;;;;2016;"2021-02-05";;;;;;;"2455012.28498";"0.00688";"0.00688";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19220244+3844367 b, K03010.01, KIC 3642335 b, KOI-3010 b, KOI-3010.01, WISE J192202.44+384436.8 b";;"Kepler-1410";290.510198;38.743544;;;"13.586";"12.906";"12.767";367;;;"0.01";"0.152";"0.152";"0.63";"0.04";"0.04";"0.6";"0.04";"0.03";;"4.07";"-2.35";"6.04";"4092.0";"77.85";"100.24";;;"2MASS J19220244+3844367, KIC 3642335, KOI-3010, WISE J192202.44+384436.8";100.292302165384;-268.098467248132;229.681662275354;87535;4.77365885571855
2256;"Kepler-1439 b";"Confirmed";;;;;;;"0.13";"0.019";"0.012";"8.07392849";"4.784e-05";"4.784e-05";;;;;;;;;;;2016;"2021-02-05";;;;;;;"2455373.04158";"0.00421";"0.00421";;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a website";"Primary Transit";;;"2MASS J19025755+4058481 b, K03144.01, KIC 5688790 b, KOI-3144 b, KOI-3144.01";;"Kepler-1439";285.739806;40.980036;;;"13.577";"12.953";"12.744";215;;;"-0.03";"0.126";"0.112";"0.46";"0.06";"0.04";"0.43";"0.05";"0.04";;"4.07";"-2.43";"6.04";"3578.0";"51.71";"54.92";;;"2MASS J19025755+4058481, KIC 5688790, KOI-3144";44.030165528834;-156.225579897831;140.996144305757;60009;3.37607187947078
