"giliese_catalogue_name";"bayer_flamsteed_designation";"proper_name";"absolute_magnitude";"spectral_type";"colour_index";"x_parsecs";"y_parsecs";"z_parsecs";"constellation";"luminosity"
;;;"2.036";"F5";"0.413";"-82.367520";"53.914749";"-18.679178";"Sex";"13.353650333271858"
;;;"4.956";"G5";"0.803";"-78.321743";"33.614699";"52.686589";"LMi";"0.9069847815057925"
"Wo 9394";;;"5.166";"F6V-VI";"0.469";"-97.395124";"-5.113989";"22.985375";"Vir";"0.747480728175663"
;"Zet1Mus";;"0.726";"K0III";"1.038";"-36.863322";"-3.582087";"-93.104351";"Mus";"44.62723707622523"
;;;"4.226";"F7V";"0.529";"-66.432249";"-12.156732";"-74.020878";"Cen";"1.7766423082036151"
;;;"3.526";"G1V";"0.622";"-83.597789";"-18.017923";"-52.219578";"Cen";"3.3853221281535415"
;;;"4.696";"G8IV/V";"0.864";"-70.292365";"-54.493149";"-46.147594";"Hya";"1.152391377199487"
;;;"3.156";"F8V";"0.571";"-32.687968";"-75.307611";"-57.448940";"Sco";"4.759923796672497"
;;;"3.926";"G3V";"0.634";"-13.127571";"-35.109952";"-92.925122";"TrA";"2.3420706947938243"
;;;"5.016";"F2";"0.602";"-5.534570";"-87.362001";"-48.758275";"Sgr";"0.8582227050540148"
;;;"2.296";"K0";"0.987";"0.575133";"-67.194059";"74.328647";"Her";"10.50993427186217"
;;;"4.216";"F8/G0V";"0.569";"2.529909";"-9.441911";"-99.722465";"Oct";"1.7930813770804404"
;;;"2.866";"F5";"0.510";"19.748182";"-70.425217";"68.486629";"Lyr";"6.217273892939603"
;;;"4.716";"G0";"0.638";"38.355033";"-82.651506";"-41.686211";"Sgr";"1.1313578641195627"
;;;"2.946";"G8IV";"0.947";"35.222271";"-73.032498";"-58.870758";"Sgr";"5.7756384639453335"
;;;"3.386";"F8IV";"0.434";"39.694258";"-59.910357";"-69.822752";"Sgr";"3.8512348242893126"
;"9Bet Cap";;"-1.954";"A5:n";"0.790";"55.920163";"-79.116953";"-25.564218";"Cap";"526.744488331906"
;;;"2.556";"A2";"0.216";"65.951368";"-69.969297";"28.192815";"Del";"8.27179951864134"
;;;"3.286";"G8IV";"0.844";"64.983113";"-63.567300";"-42.148707";"Cap";"4.222795013060563"
;;;"2.916";"F0/F2V";"0.382";"49.074710";"-19.427470";"-85.172568";"Tuc";"5.937450473021952"
;;;"3.576";"F8";"0.528";"95.265537";"-30.488366";"-5.920902";"Aqr";"3.2329575336809406"
;;;"1.123";"A0p...";"0.043";"69.219113";"15.441990";"70.926254";"And";"30.959932133091723"
;;;"4.193";"F8";"0.542";"96.294119";"25.889198";"10.838023";"Psc";"1.8314708046613513"
;;;"2.243";"F7IV";"0.469";"46.150758";"15.613044";"87.673367";"Cas";"11.035702899640144"
;;;"3.223";"F5V";"0.513";"86.301458";"44.768506";"-24.659884";"Cet";"4.475071720476558"
;;;"1.903";"A3";"0.197";"86.153746";"51.190682";"-4.161335";"Cet";"15.093848966549519"
;;;"4.543";"G3/G5V";"0.622";"76.129453";"47.851158";"-44.439212";"For";"1.3267833107241598"
;;;"2.913";"F0";"0.370";"76.987642";"51.418360";"38.591783";"Ari";"5.953878941276852"
;;;"4.603";"G0V";"0.539";"40.384564";"56.660951";"-72.241913";"Hor";"1.2554516736871384"
;;;"4.203";"G0";"0.553";"44.454296";"87.995563";"18.462586";"Tau";"1.8146797793969276"
;;;"4.623";"G3V";;"1.610523";"73.589439";"-68.134215";"Col";"1.2325370982033443"
;;;"2.563";"A8IV/V";"0.351";"-5.859346";"41.475707";"-91.135637";"Dor";"8.218640803889054"
;;;"3.973";"F5V";"0.501";"-13.731665";"45.911767";"-88.112550";"Car";"2.242848815869284"
;;;"1.533";"A1IV";"0.061";"-29.807461";"73.422502";"-61.489188";"Pup";"21.222668969007817"
;;;"2.053";"A3V";"0.197";"-32.396065";"61.980722";"71.896891";"Lyn";"13.146192882160852"
;;;"2.613";"F2";"0.401";"-61.551630";"77.273187";"-17.335568";"Hya";"7.848741034887299"
;;;"3.613";"G0";"0.536";"-79.729855";"51.555199";"32.333917";"Leo";"3.12464008580611"
;;;"3.673";"F5V";"0.443";"-52.512913";"24.935478";"-81.736690";"Vel";"2.9566505650829416"
;;;"3.723";"G0";"0.623";"-65.388727";"29.362357";"70.160081";"UMa";"2.8235793691102984"
;;;"2.803";"F2";"0.370";"-80.067851";"34.403134";"49.657406";"LMi";"6.588704043340734"
;;;"4.393";"G2V";"0.657";"-95.932043";"12.444594";"-26.504133";"Crt";"1.5233510631495686"
;;;"4.533";"F8";"0.504";"-76.571419";"-11.053877";"63.834945";"CVn";"1.3390598855467364"
;;;"4.313";"G1V";"0.592";"-86.078328";"-16.186198";"48.875418";"Com";"1.6398344276265366"
;"46    Vir";;"0.983";"K2III";"1.119";"-96.647967";"-26.167726";"-5.893426";"Vir";"35.22086356184676"
;;;"0.853";"K0III";"1.085";"-47.672546";"-37.750754";"-79.764678";"Lup";"39.7008678112184"
;;;"1.833";"F2";"0.430";"-62.812692";"-59.916928";"50.246766";"Boo";"16.099040762157053"
;;;"3.763";"G0";"0.567";"-45.886087";"-80.234956";"38.949831";"Ser";"2.721447746454366"
;;;"3.583";"G0";"0.528";"-27.567987";"-71.544315";"64.665969";"Her";"3.2121809339879834"
;;;"3.383";"F8";"0.435";"-33.687903";"-92.027718";"21.361060";"Her";"3.8618908944898966"
;;;"2.713";"G3/G5V";"0.690";"-20.332762";"-76.448056";"-61.664772";"Sco";"7.158136899114736"
;;;"3.753";"G2IV";"0.638";"-5.591537";"-34.804621";"-93.902309";"Aps";"2.7466289924159573"
;;;"3.793";"F3V";"0.449";"3.049369";"-56.479261";"-82.831547";"Tel";"2.6472807400175618"
;;;"3.263";"F5";"0.566";"13.023658";"-99.207155";"-6.971032";"Sct";"4.313204006994162"
